Time,com.sun.xml.bind.v2.util.QNameMap$Entry Data
350,516
351,204
352,102
353,33985
354,2135
355,516
356,204
357,33985
358,2135
359,516
360,204
361,33985
362,2135
363,516
364,204
365,33985
366,2135
367,516
368,204
369,33985
370,2135
371,516
372,204
373,33985
374,2135
375,516
376,204
377,33985
378,2135
379,516
380,204
381,33985
382,2135
383,516
384,204
385,33985
386,2135
387,516
388,204
389,33985
390,2135
391,516
392,204
393,33985
394,2135
395,516
396,204
397,33985
398,2135
399,516
400,204
401,33985
402,2135
403,516
404,204
405,102
406,33985
407,2135
408,516
409,33985
410,2135
411,516
412,33985
413,2135
414,516
415,204
416,33985
417,2135
418,516
419,204
420,33985
421,2135
422,516
423,204
424,33985
425,2135
426,516
427,204
428,102
429,33985
430,2135
431,516
432,33985
433,2135
434,516
435,204
436,33985
437,2135
438,516
439,204
440,33985
441,2135
442,516
443,204
444,33985
445,2135
446,516
447,204
448,102
449,33985
450,2135
451,516
452,204
453,33985
454,2135
455,516
456,204
457,33985
458,2135
459,516
460,204
461,33985
462,2135
463,516
464,204
465,33985
466,2135
467,516
468,204
469,33985
470,2135
471,516
472,204
473,33985
474,2135
475,516
476,204
477,33985
478,2135
479,516
480,204
481,33985
482,2135
483,516
484,204
485,33985
486,2135
487,516
488,33985
489,2135
490,516
491,204
492,33985
493,2135
494,516
495,33985
496,2135
497,516
498,204
499,33985
500,2135
501,516
502,204
503,102
504,33985
505,2135
506,516
507,33985
508,2135
509,516
510,204
511,33985
512,2135
513,516
514,204
515,33985
516,2135
517,516
518,33985
519,2135
520,516
521,204
522,33985
523,2135
524,516
525,33985
526,2135
527,516
528,204
529,33985
530,2135
531,516
532,204
533,33985
534,2135
535,516
536,204
537,33985
538,2135
539,516
540,204
541,102
542,33985
543,2135
544,516
545,33985
546,2135
547,516
548,33985
549,2135
550,516
551,204
552,33985
553,2135
554,516
555,33985
556,2135
557,516
558,204
559,33985
560,2135
561,516
562,204
563,33985
564,2135
565,516
566,204
567,33985
568,2135
569,516
570,204
571,33985
572,2135
573,516
574,33985
575,2135
576,516
577,204
578,33985
579,2135
580,516
581,33985
582,2135
583,516
584,204
585,33985
586,2135
587,516
588,204
589,33985
590,2135
591,516
592,33985
593,2135
594,516
595,204
596,33985
597,2135
598,516
599,33985
600,2135
601,516
602,204
603,33985
604,2135
605,516
606,204
607,33985
608,2135
609,516
610,33985
611,2135
612,516
613,204
614,33985
615,2135
616,516
617,204
618,33985
619,2135
620,516
621,33985
622,2135
623,516
624,204
625,33985
626,2135
627,516
628,204
629,33985
630,2135
631,516
632,33985
633,2135
634,516
635,204
636,33985
637,2135
638,516
639,204
640,33985
641,2135
642,516
643,204
644,102
645,33985
646,2135
647,516
648,204
649,33985
650,2135
651,516
652,204
653,33985
654,2135
655,516
656,204
657,33985
658,2135
659,516
660,33985
661,2135
662,516
663,204
664,102
665,33985
666,2135
667,516
668,204
669,33985
670,2135
671,516
672,204
673,33985
674,2135
675,516
676,33985
677,2135
678,516
679,33985
680,2135
681,516
682,204
683,102
684,33985
685,2135
686,516
687,204
688,33985
689,2135
690,516
691,204
692,102
693,33985
694,2135
695,516
696,204
697,33985
698,2135
699,516
700,204
701,33985
702,2135
703,516
704,204
705,33985
706,2135
707,516
708,204
709,33985
710,2135
711,516
712,33985
713,2135
714,516
715,33985
716,2135
717,516
718,204
719,102
720,33985
721,2135
722,516
723,204
724,33985
725,2135
726,516
727,204
728,33985
729,2135
730,516
731,204
732,33985
733,2135
734,516
735,204
736,33985
737,2135
738,516
739,204
740,102
741,33985
742,2135
743,516
744,204
745,33985
746,2135
747,516
748,204
749,33985
750,2135
751,516
752,204
753,33985
754,2135
755,516
756,204
757,33985
758,2135
759,516
760,204
761,33985
762,2135
763,516
764,204
765,33985
766,2135
767,516
768,204
769,33985
770,2135
771,516
772,33985
773,2135
774,516
775,204
776,33985
777,2135
778,516
779,204
780,33985
781,2135
782,516
783,33985
784,2135
785,516
786,204
787,33985
788,2135
789,516
790,204
791,33985
792,2135
793,516
794,204
795,33985
796,2135
797,516
798,204
799,33985
800,2135
801,516
802,204
803,33985
804,2135
805,516
806,204
807,33985
808,2135
809,516
810,204
811,33985
812,2135
813,516
814,204
815,33985
816,2135
817,516
818,204
819,33985
820,2135
821,516
822,204
823,33985
824,2135
825,516
826,204
827,33985
828,2135
829,516
